"uri","type","dc.id","collection","notation","prefLabel","altLabel","broader","broaderTransitive","broadMatch","changeNote","closeMatch","definition","editorialNote","exactMatch","example","hiddenLabel","historyNote","inScheme","mappingRelation","note","related","relatedMatch","scopeNote","semanticRelation","topConceptOf"
"colt:bgggkeuze","skos:Collection","bgggkeuze",,,"Collectie van bgggkeuze.",,,,,,,,,,,,,"cs","bgggkeuze",,,,,,
"ct:1","skos:Concept","1","colt:bgggkeuze",,"fijn grind",,,,,,,,,,,,,"cs:bgggkeuze",,,,,,,"cs:bgggkeuze"
"ct:10","skos:Concept","10","colt:bgggkeuze",,"grind en leemh. grofzand",,,,,,,,,,,,,"cs:bgggkeuze",,,,,,,"cs:bgggkeuze"
"ct:100","skos:Concept","100","colt:bgggkeuze",,"kalkh. weinig humush. grindh. weinig leemh. zand",,,,,,,,,,,,,"cs:bgggkeuze",,,,,,,"cs:bgggkeuze"
"ct:101","skos:Concept","101","colt:bgggkeuze",,"kalkh. weinig humush. grindh. zandh. klei",,,,,,,,,,,,,"cs:bgggkeuze",,,,,,,"cs:bgggkeuze"
"ct:1018","skos:Concept","1018","colt:bgggkeuze",,"sterk kalkh. weinig leemh. fijnzand",,,,,,,,,,,,,"cs:bgggkeuze",,,,,,,"cs:bgggkeuze"
"ct:1019","skos:Concept","1019","colt:bgggkeuze",,"weinig kalkh. sterk humush. weinig leemh. grofzand",,,,,,,,,,,,,"cs:bgggkeuze",,,,,,,"cs:bgggkeuze"
"ct:102","skos:Concept","102","colt:bgggkeuze",,"kalkh. weinig humush. klei",,,,,,,,,,,,,"cs:bgggkeuze",,,,,,,"cs:bgggkeuze"
"ct:1020","skos:Concept","1020","colt:bgggkeuze",,"kalkh. sterk humush. weinig plastisch leem of silt",,,,,,,,,,,,,"cs:bgggkeuze",,,,,,,"cs:bgggkeuze"
"ct:1021","skos:Concept","1021","colt:bgggkeuze",,"kalkh. weinig leemh. fijnzand à weinig plastisch zandh. leem of zandh. silt",,,,,,,,,,,,,"cs:bgggkeuze",,,,,,,"cs:bgggkeuze"
"ct:1022","skos:Concept","1022","colt:bgggkeuze",,"kalkh. sterk humush. weinig plastisch zandh. leem of zandh. silt",,,,,,,,,,,,,"cs:bgggkeuze",,,,,,,"cs:bgggkeuze"
"ct:103","skos:Concept","103","colt:bgggkeuze",,"kalkh. weinig humush. kleih. fijnzand",,,,,,,,,,,,,"cs:bgggkeuze",,,,,,,"cs:bgggkeuze"
"ct:104","skos:Concept","104","colt:bgggkeuze",,"kalkh. weinig humush. kleih. grofzand",,,,,,,,,,,,,"cs:bgggkeuze",,,,,,,"cs:bgggkeuze"
"ct:105","skos:Concept","105","colt:bgggkeuze",,"kalkh. weinig humush. kleih. zand",,,,,,,,,,,,,"cs:bgggkeuze",,,,,,,"cs:bgggkeuze"
"ct:106","skos:Concept","106","colt:bgggkeuze",,"kalkh. weinig humush. leem",,,,,,,,,,,,,"cs:bgggkeuze",,,,,,,"cs:bgggkeuze"
"ct:107","skos:Concept","107","colt:bgggkeuze",,"kalkh. weinig humush. leemh. fijnzand",,,,,,,,,,,,,"cs:bgggkeuze",,,,,,,"cs:bgggkeuze"
"ct:108","skos:Concept","108","colt:bgggkeuze",,"kalkh. weinig humush. leemh. zand",,,,,,,,,,,,,"cs:bgggkeuze",,,,,,,"cs:bgggkeuze"
"ct:109","skos:Concept","109","colt:bgggkeuze",,"kalkh. weinig humush. weinig kleih. fijnzand",,,,,,,,,,,,,"cs:bgggkeuze",,,,,,,"cs:bgggkeuze"
"ct:11","skos:Concept","11","colt:bgggkeuze",,"grind en leemh. zand",,,,,,,,,,,,,"cs:bgggkeuze",,,,,,,"cs:bgggkeuze"
"ct:110","skos:Concept","110","colt:bgggkeuze",,"kalkh. weinig humush. weinig kleih. zand",,,,,,,,,,,,,"cs:bgggkeuze",,,,,,,"cs:bgggkeuze"
"ct:111","skos:Concept","111","colt:bgggkeuze",,"kalkh. weinig humush. weinig leemh. fijnzand",,,,,,,,,,,,,"cs:bgggkeuze",,,,,,,"cs:bgggkeuze"
"ct:112","skos:Concept","112","colt:bgggkeuze",,"kalkh. weinig humush. zand",,,,,,,,,,,,,"cs:bgggkeuze",,,,,,,"cs:bgggkeuze"
"ct:113","skos:Concept","113","colt:bgggkeuze",,"kalkh. weinig humush. zandh. klei",,,,,,,,,,,,,"cs:bgggkeuze",,,,,,,"cs:bgggkeuze"
