uri,type,dc.id,collection,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
colt:bgggkeuzes,skos:Collection,bgggkeuzes,,,Collectie van bgggkeuzes.,,,,,,,,,,,,,cs,bgggkeuze,,,,,,
ct:1,skos:Concept,1,colt:bgggkeuzes,,fijn grind,,,,,,,,,,,,,cs:bgggkeuze,,,,,,,cs:bgggkeuze
ct:2,skos:Concept,2,colt:bgggkeuzes,,fijn grind en kleih. grofzand,,,,,,,,,,,,,cs:bgggkeuze,,,,,,,cs:bgggkeuze
ct:3,skos:Concept,3,colt:bgggkeuzes,,fijn grind en leemh. grofzand,,,,,,,,,,,,,cs:bgggkeuze,,,,,,,cs:bgggkeuze
ct:4,skos:Concept,4,colt:bgggkeuzes,,fijnzand,,,,,,,,,,,,,cs:bgggkeuze,,,,,,,cs:bgggkeuze
ct:5,skos:Concept,5,colt:bgggkeuzes,,fijnzand met grind,,,,,,,,,,,,,cs:bgggkeuze,,,,,,,cs:bgggkeuze
ct:6,skos:Concept,6,colt:bgggkeuzes,,gips,,,,,,,,,,,,,cs:bgggkeuze,,,,,,,cs:bgggkeuze
ct:7,skos:Concept,7,colt:bgggkeuzes,,grind,,,,,,,,,,,,,cs:bgggkeuze,,,,,,,cs:bgggkeuze
ct:8,skos:Concept,8,colt:bgggkeuzes,,grind en grofzand,,,,,,,,,,,,,cs:bgggkeuze,,,,,,,cs:bgggkeuze
ct:9,skos:Concept,9,colt:bgggkeuzes,,grind en kleih. zand,,,,,,,,,,,,,cs:bgggkeuze,,,,,,,cs:bgggkeuze
ct:10,skos:Concept,10,colt:bgggkeuzes,,grind en leemh. grofzand,,,,,,,,,,,,,cs:bgggkeuze,,,,,,,cs:bgggkeuze
ct:11,skos:Concept,11,colt:bgggkeuzes,,grind en leemh. zand,,,,,,,,,,,,,cs:bgggkeuze,,,,,,,cs:bgggkeuze
ct:390,skos:Concept,390,colt:bgggkeuzes,,zand à weinig plastisch zandh. leem of zandh. silt,,,,,,,,,,,,,cs:bgggkeuze,,,,,,,cs:bgggkeuze
ct:388,skos:Concept,388,colt:bgggkeuzes,,weinig kleih. fijnzand à weinig plastisch zandh. leem of zandh. silt,,,,,,,,,,,,,cs:bgggkeuze,,,,,,,cs:bgggkeuze
ct:14,skos:Concept,14,colt:bgggkeuzes,,grind en zand,,,,,,,,,,,,,cs:bgggkeuze,,,,,,,cs:bgggkeuze
ct:15,skos:Concept,15,colt:bgggkeuzes,,grind en zandh. klei,,,,,,,,,,,,,cs:bgggkeuze,,,,,,,cs:bgggkeuze
ct:16,skos:Concept,16,colt:bgggkeuzes,,grindh. fijnzand,,,,,,,,,,,,,cs:bgggkeuze,,,,,,,cs:bgggkeuze
ct:17,skos:Concept,17,colt:bgggkeuzes,,grindh. grofzand,,,,,,,,,,,,,cs:bgggkeuze,,,,,,,cs:bgggkeuze
ct:18,skos:Concept,18,colt:bgggkeuzes,,grindh. kalkh. leem,,,,,,,,,,,,,cs:bgggkeuze,,,,,,,cs:bgggkeuze
ct:19,skos:Concept,19,colt:bgggkeuzes,,grindh. kleih. fijnzand,,,,,,,,,,,,,cs:bgggkeuze,,,,,,,cs:bgggkeuze
ct:20,skos:Concept,20,colt:bgggkeuzes,,grindh. kleih. grofzand,,,,,,,,,,,,,cs:bgggkeuze,,,,,,,cs:bgggkeuze
ct:21,skos:Concept,21,colt:bgggkeuzes,,grindh. kleih. zand,,,,,,,,,,,,,cs:bgggkeuze,,,,,,,cs:bgggkeuze
ct:22,skos:Concept,22,colt:bgggkeuzes,,grindh. leemh. fijnzand,,,,,,,,,,,,,cs:bgggkeuze,,,,,,,cs:bgggkeuze
ct:23,skos:Concept,23,colt:bgggkeuzes,,grindh. leemh. grofzand,,,,,,,,,,,,,cs:bgggkeuze,,,,,,,cs:bgggkeuze
ct:24,skos:Concept,24,colt:bgggkeuzes,,grindh. leemh. of kleih. grofzand,,,,,,,,,,,,,cs:bgggkeuze,,,,,,,cs:bgggkeuze
ct:25,skos:Concept,25,colt:bgggkeuzes,,grindh. leemh. zand,,,,,,,,,,,,,cs:bgggkeuze,,,,,,,cs:bgggkeuze
ct:26,skos:Concept,26,colt:bgggkeuzes,,grindh. mergel,,,,,,,,,,,,,cs:bgggkeuze,,,,,,,cs:bgggkeuze
ct:626,skos:Concept,626,colt:bgggkeuzes,,weinig kleih. à weinig leemh. fijnzand,,,,,,,,,,,,,cs:bgggkeuze,,,,,,,cs:bgggkeuze
ct:100,skos:Concept,100,colt:bgggkeuzes,,kalkh. weinig humush. grindh. weinig leemh. zand,,,,,,,,,,,,,cs:bgggkeuze,,,,,,,cs:bgggkeuze
