uri,dc.identifier,collections,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
collectie:bgggkeuze,be.vlaanderen.bodemenondergrond.data.id.collection.bgggkeuze.bgggkeuze,,collectie_bgggkeuze,Collectie van bgggkeuze.,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,
conceptscheme:bgggkeuze,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.bgggkeuze,,bgggkeuze,Conceptschema  bgggkeuze.,,,,,,,,,,,,,,,,,,,,
concept:1,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.1,collectie:bgggkeuze,1,fijn grind,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:2,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.2,collectie:bgggkeuze,2,fijn grind en kleih. grofzand,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:3,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.3,collectie:bgggkeuze,3,fijn grind en leemh. grofzand,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:4,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.4,collectie:bgggkeuze,4,fijnzand,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:5,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.5,collectie:bgggkeuze,5,fijnzand met grind,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:6,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.6,collectie:bgggkeuze,6,gips,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:7,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.7,collectie:bgggkeuze,7,grind,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:8,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.8,collectie:bgggkeuze,8,grind en grofzand,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:9,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.9,collectie:bgggkeuze,9,grind en kleih. zand,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:10,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.10,collectie:bgggkeuze,10,grind en leemh. grofzand,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:11,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.11,collectie:bgggkeuze,11,grind en leemh. zand,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:390,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.390,collectie:bgggkeuze,390,zand à weinig plastisch zandh. leem of zandh. silt,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:388,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.388,collectie:bgggkeuze,388,weinig kleih. fijnzand à weinig plastisch zandh. leem of zandh. silt,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:14,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.14,collectie:bgggkeuze,14,grind en zand,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:15,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.15,collectie:bgggkeuze,15,grind en zandh. klei,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:16,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.16,collectie:bgggkeuze,16,grindh. fijnzand,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:17,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.17,collectie:bgggkeuze,17,grindh. grofzand,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:18,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.18,collectie:bgggkeuze,18,grindh. kalkh. leem,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:19,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.19,collectie:bgggkeuze,19,grindh. kleih. fijnzand,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:20,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.20,collectie:bgggkeuze,20,grindh. kleih. grofzand,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:21,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.21,collectie:bgggkeuze,21,grindh. kleih. zand,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:22,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.22,collectie:bgggkeuze,22,grindh. leemh. fijnzand,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:23,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.23,collectie:bgggkeuze,23,grindh. leemh. grofzand,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:24,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.24,collectie:bgggkeuze,24,grindh. leemh. of kleih. grofzand,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:25,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.25,collectie:bgggkeuze,25,grindh. leemh. zand,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:26,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.26,collectie:bgggkeuze,26,grindh. mergel,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:626,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.626,collectie:bgggkeuze,626,weinig kleih. à weinig leemh. fijnzand,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:100,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.100,collectie:bgggkeuze,100,kalkh. weinig humush. grindh. weinig leemh. zand,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:631,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.631,collectie:bgggkeuze,631,kalkh. leemh. grofzand,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:632,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.632,collectie:bgggkeuze,632,fijn grind en zand,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:633,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.633,collectie:bgggkeuze,633,kleih. fijnzand à leemh. fijnzand,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:32,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.32,collectie:bgggkeuze,32,grindh. zand,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:33,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.33,collectie:bgggkeuze,33,grindh. zandh. klei,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
concept:34,be.vlaanderen.bodemenondergrond.data.id.concept.bgggkeuze.34,collectie:bgggkeuze,34,grindh. zandh. leem,,,,,,,,,,,,,conceptscheme:bgggkeuze,,,,,,,conceptscheme:bgggkeuze
